organizations ,type,abbreviation,collaboration,foundingYear,verified,participation,address1,address2,city,state,zip,address1DC,address2DC,cityDC,stateDC,zipDC,lobby,scope,about,website,twitter,facebook,linkedIn,accounts,youTube
Champaign County Economic Development Corporation,NGO,,,,,COMPETES,1817 S Neil St,Ste 100,Champaign,IL,61820-6261,,,,,,,,"Founded in 2001, the EDC has the following mission:

The Champaign County Economic Development Corporation acts through public-private partnerships to continually grow the local economy by supporting local business and driving expansion and attraction.",http://www.champaigncountyedc.org/,https://twitter.com/CHCEDC,https://www.facebook.com/ChampaignCountyEDC/,https://www.linkedin.com/company/champaign-county-economic-development-corporation?trk=tyah,,https://www.youtube.com/user/CHCEDC
Charlotte Chamber of Commerce,NGO,,,,,BFRF,330 S. Tryon St.,,Charlotte,NC,28202,,,,,,501(c)(6),,"Founded in 1876, the Charlotte Chamber creates competitive advantage by growing the economy, advocating pro-business public policies, and delivering innovative programs and services.",http://charlottechamber.com/,https://twitter.com/CLTchamber,https://www.facebook.com/CharlotteChamber,https://www.linkedin.com/company/charlotte-chamber-of-commerce,,https://www.youtube.com/user/CharlotteChamber
Charlottesville Chamber of Commerce,NGO,,,,,BFRF,209 5Th St Ne ,,Charlottesville,VA,22902-5207,,,,,,501(c)(6),,"Since 1913, dedicated to representing private enterprise, promoting business, and enhancing the quality of life in our communities",http://cvillechamber.com/,https://twitter.com/cvillevachamber,https://www.facebook.com/CRCOC/,https://www.linkedin.com/company/charlotesville-regional-chamber-of-commerce,,
Chicagoland Chamber of Commerce,NGO,,,,,BFRF,410 N Michigan Ave Ste 900 ,,Chicago,IL,60611-4241,,,,,,501(c)(6),,"The primary role of the Chicagoland Chamber of Commerce is to make Chicagoland the most business-friendly region in America by enhancing our members’ success through aggressive programs in advocacy, member benefits and services, and actionable information. Serving as “The Voice of Business” since 1904, the Chamber leads aggressive public policy and business growth initiatives and we create meaningful events and programs to inform, engage, and connect our members to each other and the community.",https://www.chicagolandchamber.org/,https://twitter.com/chicagolandcmbr,https://www.facebook.com/ChicagolandChamber,https://www.linkedin.com/company/chicagoland-chamber-of-commerce?trk=biz-companies-cym,,https://www.youtube.com/user/ChicagolandChamber
Child Welfare League of America,NGO,,,,,FNICHD,1726 M St Nw Ste 500,,Washington,DC,20036-4522,,,,,,501(c)(3),,"CWLA is a powerful coalition of hundreds of private and public agencies serving vulnerable children and families since 1920. Our expertise, leadership and innovation on policies, programs, and practices help improve the lives of millions of children",http://www.cwla.org/,,https://www.facebook.com/CWLAUpdates,,https://www.linkedin.com/groups/1860851/profile,
Children and Adults with Attention Deficit/Hyperactivity Disorders (CHADD),NGO,,,,,"FAHRQ, FNCHS",4601 Presidents Drive,Suite 300,Lanham,MD,20706,,,,,,501(c)(3),,"Children and Adults with Attention-Deficit/Hyperactivity Disorder (CHADD), is a national non-profit, tax-exempt [Section 501(c)(3)] organization providing education, advocacy and support for individuals with ADHD. - See more at: http://www.chadd.org/About-CHADD/Mission-and-History.aspx#sthash.C4RmeCkx.dpuf",http://www.chadd.org/,https://twitter.com/CHADD_ADHD,https://www.facebook.com/chadd.org,,,
Children's Brain Tumor Foundation,NGO,,,,,RMR, 1460 Broadway,,New York,NY,10036,,,,,,501(c)(3),,"Children's Brain Tumor Foundation aims to improve the treatment, quality of life, and long-term outlook for children with brain and spinal cord tumors.",http://www.cbtf.org/,https://twitter.com/CBTF,https://www.facebook.com/Childrensbraintumor/,https://www.linkedin.com/company/children's-brain-tumor-foundation,,https://www.youtube.com/channel/UCEXmyouioZpkqIUWtx2jJYw
Children's Cause for Cancer Advocacy,NGO,,,,,RMR,"122 C Street, NW ",Suite 240,Washington,DC,20001,,,,,,501(c)(3),,The Children’s Cause for Cancer Advocacy (CCCA) is the leading national advocacy organization working to achieve access to less toxic and more effective pediatric cancer therapies; to expand resources for research and specialized care; and to address the unique needs and challenges of childhood cancer survivors and their families.  CCCA leads efforts to ensure that these needs and perspectives of children with cancer are integrated into the highest deliberations on health care and cancer policy at the Federal level.,http://www.childrenscause.org/,https://twitter.com/childrenscause,https://www.facebook.com/ChildrensCause/,https://www.linkedin.com/company/children's-cause-for-cancer-advocacy,,
Children's Defense Fund,NGO,,,,,FNICHD,25 E St Nw ,,Washington,DC,20001-1522,,,,,,501(c)(3),,"CDF provides a strong, effective and independent voice for all the children of America who cannot vote, lobby or speak for themselves. We pay particular attention to the needs of poor children, children of color and those with disabilities. CDF educates the nation about the needs of children and encourages preventive investments before they get sick, drop out of school, get into trouble or suffer family breakdown. 
CDF began in 1973 and is a private, nonprofit organization supported by individual donations, foundation, corporate and government grants.",http://www.childrensdefense.org/?,https://twitter.com/ChildDefender,https://www.facebook.com/childrensdefensefund/,https://www.linkedin.com/company/children's-defense-fund,,https://www.youtube.com/user/childrensdefense
Children's Dental Health Project,NGO,,,,,FAHRQ,1020 19Th St Nw,Suite 400,Washington,DC,20036,,,,,,501(c)(3),,The Children’s Dental Health Project will improve oral health for children and families by identifying and advancing solutions that are innovative and cost-effective.,https://www.cdhp.org,https://twitter.com/teeth_matter,https://www.facebook.com/childrensdentalhealth,,,
Children's Environmental Health Network,NGO,,,,,CDCC, 110 Maryland Ave NE,#505,Washington,DC,20002,,,,,,,,The Children's Environmental Health Network is a national multi-disciplinary organization whose mission is to protect the developing child from environmental health hazards and promote a healthier environment.,http://www.cehn.org/,https://twitter.com/CEHN,https://www.facebook.com/CEHNet/,https://www.linkedin.com/company/children%27s-environmental-health-network,,https://www.youtube.com/user/CEHN1
Children's Hospital Association (formerly National Association of Children's Hospitals and Related Institutions),NGO,,,,,"PHF, CHF, CDCC, FAHRQ, FNICHD",6803 West 64th St,,Overland Park,KS,66202,"600 13th Street, NW",Suite 500,Washington,DC,20005,501(c)(3),,"The Children’s Hospital Association advances child health through innovation in the quality, cost and delivery of care.",https://www.childrenshospitals.org/,https://twitter.com/hospitals4kids,https://www.facebook.com/childrenshospitals,https://www.linkedin.com/company/children's-hospital-association,,https://www.youtube.com/user/Hospitals4KidsTV
Children's Hospital of Philadelphia,NGO,,,,,"RMR, FNCHS",34th St and Civic Center Blvd,,Philadelphia ,PA,,,,,,,501(c)(3),,The Children's Hospital of Philadelphia is one of the leading pediatric hospitals & research facilities in the world.,http://www.chop.edu/,https://twitter.com/ChildrensPhila,https://www.facebook.com/ChildrensHospitalofPhiladelphia,https://www.linkedin.com/company/the-childrens-hospital-of-philadelphia,,https://www.youtube.com/user/ChildrensHospPhila
Children’s Mental Health Network,NGO,,,,,"PHF, CHF",302 Stage Rd ,,Nottingham,NH,03290,,,,,,501(c)(3),,"The Children’s Mental Health Network endeavors to fill this gap by providing factual, non-partisan, up-to-date information singularly focused on children’s mental health care and the systems and structures in which that care is provided. - See more at: http://www.cmhnetwork.org/about-us#sthash.FKI1A8F5.dpuf",http://www.cmhnetwork.org/,https://twitter.com/CMHNetwork,https://www.facebook.com/CMHNetwork/,https://www.linkedin.com/company/children's-mental-health-network,https://www.linkedin.com/groups/3985215/profile,
Children's Mercy Hospitals and Clinics,NGO,,,,,FNCHS,2401 Gillham Road,,Kansas City,MO,64108,,,,,,501(c)(3),,"Children's Mercy continues transforming children's lives and redefining pediatric medicine.

We are the only free-standing children's hospital between St. Louis and Denver and provide comprehensive care for patients from birth to 21. Children's Mercy consistently is ranked among the leading children's hospitals in the nation. We were the first hospital in Missouri or Kansas to earn the prestigious Magnet designation for excellence in patient care from the American Nurses Credentialing Center.",http://www.childrensmercy.org/,http://twitter.com/childrensmercy,http://facebook.com/childrensmercy,https://www.linkedin.com/company/children's-mercy-hospital,,http://youtube.com/childrensmercykc
Chris4Life Colon Cancer Foundation,NGO,,,,,DDNC,8330 Boone Blvd.,Suite 450,Vienna,VA,22182,,,,,,501(c)(3),,The principal goal of Chris4Life Colon Cancer Foundation is to permanently eliminate the threat of colon cancer through discovery of a cure.,http://www.chris4life.org/,https://twitter.com/CCAlliance,https://www.facebook.com/ColonCancerAlliance/,,,
Christopher & Dana Reeve Foundation,NGO,,,,,AHGMR,636 Morris Turnpike,Suite 3A,Short Hills,NJ,07078,,,,,,501(c)(3),"Philantropy, Health & Medical Sciences",The Christopher & Dana Reeve Foundation is a charitable organization dedicated to finding treatments and cures for paralysis caused by spinal cord injury and other neurological disorders.,christopherreeve.org/,https://twitter.com/reevefoundation,https://www.facebook.com/ReeveFoundation,https://www.linkedin.com/company/christopher-and-dana-reeve-foundation,https://www.linkedin.com/groups/Christopher-Dana-Reeve-Foundation-3658183/about,https://www.youtube.com/user/ReeveFoundation
Chromosome 18 Registry and Research Society,NGO,,,,,FNICHD,7155 Oakridge Dr,,San Antonio,TX,78229-3640,,,,,,501(c)(3),,"Founded in 1990, the Registry is a coalition of independent organizations with a common mission: To advocate for families and individuals affected by a chromosome 18 abnormality and to conduct critical research that can lead to treatment and improved outcomes for the 5 known genetic conditions associated with the 18th chromosome. We consist of three separate organizations located in the United States, Australia, and Europe. ",http://www.chromosome18.org/,https://twitter.com/Chromosome18Reg,https://www.facebook.com/chromosome18Registry,https://www.linkedin.com/company/the-chromosome-18-registry-&-research-society?trk=nav_account_sub_nav_company_admin,,https://www.youtube.com/channel/UCfD6CmWv7vGNpDRPklh4uOQ
The City College of New York (CCNY),Universities,,,,,"InnovationP, Innovation Imperative",160 Convent Ave,,New York,NY,10031,,,,,,501(c)(3),,"The founding institution of the City University of New York, City College offers outstanding teaching, learning and research on a beautiful campus in the heart of the world's most dynamic city.Our classrooms are equipped with the technology for a truly interactive learning environment.Our libraries hold 1.5 million volumes and provide online access to the resources of the entire university.Our laboratories are engines of innovation, where students and faculty push the boundaries of knowledge.",https://www.ccny.cuny.edu/,https://twitter.com/citycollegeny,https://www.facebook.com/The-City-College-of-New-York-170858093839/,,,https://www.youtube.com/user/citycollegeofny
